MASKED_XCC,SKU_NUMBER,SKU_RANK_NUMBER,HEALTH_SKU_NUMBER
49333286,281874,9,813576
29831916,230874,5,398254
7031829,729602,11,303274
38336390,966052,14,823994
26399262,599779,9,957833
20351552,313546,2,310381
53534530,997124,16,275175
18207804,115585,10,208874
36427108,187896,18,690362
19395830,726897,9,341442
3214941,881950,1,255047
10317058,258540,10,306372
29944855,351284,6,838620
5784851,978581,6,978581
21393558,493302,4,231896
2127465,212795,6,111294
16332702,427127,17,966052
4098729,307619,5,747330
55190941,966052,2,959956
22058224,164665,15,392733
35981332,631549,1,101907
7125632,234585,9,349619
1390357,966052,3,566166
50452231,866992,14,966052
27041312,878620,14,507400
6581349,521682,3,521682
22344675,203359,7,309878
36955750,450462,19,264711
35219275,369824,16,813576
569087,173146,11,371914
32516007,829850,13,365523
12886450,278572,15,669317
10508847,731309,20,60483
52353473,395833,11,966052
17370026,372441,4,163915
22348603,966052,1,444724
7549833,288946,20,341442
22976461,110973,14,813576
26176581,879536,4,864199
90901673,504198,20,956360
41701535,707649,1,707649
32504654,364379,10,272880
19959185,281874,13,281874
32972840,155912,5,789786
5695007,284000,20,273479
16808101,451305,3,566166
50584548,743704,4,743704
53521022,228263,5,115585
11172947,334568,4,551001
1189975,451305,7,100990
16385391,335491,15,830671
26975411,140160,17,247239
54090567,335244,3,369824
28397707,857132,8,454376
13840436,264628,7,442316
2598594,504206,12,264628
22802948,380036,1,444724
7585191,209144,10,542008
16166673,444724,9,369824
23409928,862652,3,100990
38598449,504586,8,853023
1016996,813576,3,407811
53523781,994291,12,957879
40002953,997124,17,341442
17066091,228263,14,500827
19717960,829850,17,966052
17653701,364379,6,390470
10444068,997124,15,997124
35503514,671549,12,275603
45988765,431001,1,135780
40365807,230346,8,242050
23062320,242050,6,829850
19142313,907485,2,477082
8552694,572370,2,257200
32133411,209144,7,846846
39429089,132142,3,370317
16619746,708837,1,207862
11613254,505933,12,154815
34667009,247239,16,264628
22921288,341442,19,721552
32156098,634266,2,177065
18430685,140160,3,926302
25117281,791774,11,369824
1568726,843837,15,737102
17358303,328434,4,212209
30349686,188828,8,340231
24623340,455407,13,395214
4694119,213858,10,372488
2314973,155912,13,985574
1556797,841355,15,468080
16398602,994615,10,455407
